级别,编号,汉字,注音,词组,例句
1,22,三,sān,"三心二意,三顾茅庐,三个,三月,第三",老师告诉我们，做事不能三心二意。
1,23,干,"gān, gàn","埋头苦干,一干二净,干净,干活,树干",放学后，教室被打扫得干干净净。
1,24,于,yú,"无济于事,同归于尽,于是,属于,关于",下雨了，于是我们改在教室里玩。
1,25,亏,kuī,"功亏一篑,吃亏,幸亏,亏本,亏损",比赛功亏一篑，大家心里都很可惜。
1,26,工,gōng,"巧夺天工,能工巧匠,工整,工作,工程",他的作业字迹工整，老师常表扬他。
1,27,土,tǔ,"卷土重来,大兴土木,土地,泥土,土豆",一场春雨过后，田里的泥土变得松软了。
1,28,士,shì,"身先士卒,有识之士,士兵,战士,护士",解放军战士勇敢地守卫着祖国的边疆。
1,29,才,cái,"才华横溢,真才实学,刚才,才能,人才",他刚才还在教室里认真地写作业呢。
1,30,下,xià,"下落不明,不在话下,下雨,下面,下午",天快下雨了，我们赶快回家吧。
1,31,寸,cùn,"得寸进尺,寸步难行,英寸,一寸,方寸",他得寸进尺，惹得大家都很生气。
1,32,大,"dà, dài","大显身手,大吃一惊,大家,大学,大方",听到这个好消息，他大吃了一惊。
1,33,丈,zhàng,"火冒三丈,一落千丈,丈夫,丈量,方丈",我把花瓶打碎了，妈妈火冒三丈。
1,34,与,"yǔ, yù","与众不同,与虎谋皮,与其,参与,给予",他总是有与众不同的奇妙想法。
1,35,万,"mò, wàn","千军万马,万众一心,万分,万一,百万",军民万众一心，终于战胜了洪水。
1,36,上,"shǎng, shàng","锦上添花,至高无上,上面,上学,上课",同学们都高高兴兴地上学去了。
1,37,小,xiǎo,"小心翼翼,小题大做,小心,小鸟,小学",过马路要小心翼翼地看红绿灯。
1,38,口,kǒu,"口若悬河,脍炙人口,口袋,门口,口气",辩论会上他口若悬河，说个不停。
1,39,山,shān,"山清水秀,翻山越岭,高山,山顶,山水",我的家乡山清水秀，风景很美。
1,40,巾,jīn,"巾帼英雄,毛巾,头巾,围巾,纸巾",体育课后，我用毛巾擦去脸上的汗。
1,41,千,qiān,"千方百计,千辛万苦,千万,千克,千米",他千方百计地想把风筝放飞起来。
1,42,乞,qǐ,"摇尾乞怜,乞丐,乞求,乞讨,乞巧",古时候，姑娘们七月七有乞巧的习俗。
1,43,川,chuān,"川流不息,名山大川,四川,冰川,平川",节日里，大街上车来人往，川流不息。
1,44,亿,yì,"亿万,亿元,数亿,亿人,亿万",我们伟大的祖国有十几亿人口。
1,45,个,"gě, gè","各个击破,一步一个脚印,一个,个人,几个",客厅的桌子上放着一个大红苹果。
1,46,夕,xī,"朝夕相处,夕陽,夕阳,除夕,七夕",除夕夜，全家人一起吃年夜饭。
1,47,久,jiǔ,"天长地久,久而久之,好久,持久,长久",搬家后，我和老朋友好久没见面了。
1,48,么,me,"挑么挑六,什么,怎么,那么,这么",你怎么不说话，是不是不舒服？
1,49,勺,sháo,"勺水一脔,勺子,汤勺,一勺,后脑勺",吃饭时，我用小勺子舀了一勺汤。
1,50,凡,fán,"不同凡响,平凡,凡人,凡是,非凡",她的歌声不同凡响，赢得掌声。
1,51,丸,wán,"泥丸,丸子,药丸,鱼丸,肉丸",妈妈亲手做的鱼丸汤真好喝呀。
1,52,及,jí,"触手可及,及时,以及,来不及,普及",下雨了，妈妈及时赶到了学校接我。
1,53,广,guǎng,"见多识广,广阔,广大,广场,广泛",周末，广场上有很多小朋友在玩耍。
1,54,亡,wáng,"亡羊补牢,灭亡,逃亡,亡羊",亡羊补牢，为时未晚的道理我懂了。
1,55,门,mén,"门当户对,门外汉,门口,大门,关门",学校的大门每天早上准时为我们打开。
1,56,丫,yā,"丫头,丫鬟,脚丫,树丫,丫杈",可爱的小妹妹扎着两个小丫辫。
1,57,义,yì,"义不容辞,见义勇为,意义,义务,义气",见义勇为的精神值得我们学习。
1,58,之,zhī,"井底之蛙,无价之宝,之前,之间,之后",井底之蛙的故事告诉我们眼界要宽。
1,59,尸,shī,"尸位素餐,尸骨,尸体,僵尸,尸位",考古学家发现了古生物的尸骨化石。
1,60,己,jǐ,"舍己为人,知己知彼,自己,知己,克己",那些舍己为人的英雄让人敬佩。
1,61,已,yǐ,"迫不得已,已经,早已,而已,已知",早晨，红彤彤的太阳已经升起来了。
1,62,巳,sì,"巳时,上巳,辛巳,癸巳",古人把上午九点到十一点叫做巳时。
1,63,弓,gōng,"惊弓之鸟,弓箭,弓弦,弹弓,弯弓",惊弓之鸟这个成语故事很有趣。
1,64,子,zǐ,"子虚乌有,父子,子女,种子,孩子",爸爸和孩子一起在院子里种花。
1,65,卫,wèi,"保家卫国,卫生,卫星,保卫,门卫",从小就要养成讲卫生的好习惯。
1,66,也,yě,"空空如也,也许,也好,也是,也罢",天阴沉沉的，也许明天会是个好天气。
1,67,女,nǚ,"女扮男装,男女,女生,女儿,少女",我们班里的女生学习都很用功。
1,68,刃,rèn,"迎刃而解,刀刃,利刃,锋刃,刃具",再难的题在他面前都能迎刃而解。
1,69,飞,fēi,"飞黄腾达,飞翔,飞机,起飞,飞舞",抬头望去，一架飞机从蓝天上飞过。
1,70,习,xí,"习以为常,学习,习惯,练习,复习",从小养成良好的学习习惯很重要。
1,71,叉,"chā, chá, chǎ, chà","交叉,叉子,铁叉,叉车,刀叉",哥哥告诉我吃西餐时要会用刀叉。
1,72,马,mǎ,"马到成功,一马当先,小马,马上,马路",运动会前，老师祝我们马到成功。
1,73,乡,xiāng,"乡亲,乡音,故乡,乡村,下乡",我深深地爱着美丽的乡村风光。
1,74,丰,fēng,"丰衣足食,丰富多彩,丰收,丰富,丰产",金色的秋天是农民丰收的好季节。
1,75,王,wáng,"王者,国王,霸王,大王,王府",童话故事里的那位国王很仁慈。
1,76,开,kāi,"开门见山,豁然开朗,打开,开始,开会",会上，老师开门见山地提出了问题。
1,77,井,jǐng,"井井有条,井水,水井,天井,矿井",他的书包总是整理得井井有条。
1,78,天,tiān,"天罗地网,天空,天气,今天,蓝天",今天天气真好，老师带我们去春游。
1,79,夫,fū,"匹夫之勇,夫妇,大夫,农夫,丈夫",烈日下，农夫在田里辛苦地劳作。
1,80,元,yuán,"元月,元旦,元宝,元帅,一元",元旦那天，我们高高兴兴地放假一天。
1,81,无,"mó, wú","无忧无虑,无影无踪,无数,无人,无边",操场上，孩子们无忧无虑地玩耍。
1,82,云,yún,"腾云驾雾,云开见日,白云,云朵,乌云",蔚蓝的天空中飘着几朵柔软的白云。
1,83,专,zhuān,"专心致志,专心,专业,专一,专门",上课时我们要专心致志地听讲。
1,84,丐,gài,"乞丐,丐帮,丐食,丐者",那个可怜的乞丐在寒风中发抖。
1,85,扎,"zā, zhā, zhá","扎实,扎针,扎手,扎根,扎营",学习基础要扎实，做事不能马虎。
1,86,艺,yì,"多才多艺,艺术,手艺,艺人,文艺",她多才多艺，会弹琴又会画画。
1,87,木,mù,"木已成舟,木头,树木,木板,木匠",我家的小院子里种着许多树木。
1,88,五,wǔ,"五光十色,五颜六色,五个,五月,第五",节日的夜晚五光十色，真好看。
1,89,支,zhī,"乐不可支,支撑,支持,一支,分支",爸爸妈妈都很支持我课外学画画。
1,90,厅,tīng,"客厅,餐厅,大厅,办公厅,厅堂",晚上，我们一家人在客厅里看电视。
1,91,不,bù,"不约而同,不三不四,不但,不断,不过",听完故事，同学们不约而同地鼓起掌来。
1,92,犬,quǎn,"鸡犬不宁,犬牙,猎犬,警犬,军犬",机警的警犬帮助警察抓住了坏人。
1,93,太,tài,"太平盛世,太阳,太空,太过,太极",清晨，太阳从东方慢慢地升起来。
1,94,区,"ōu, qū","区别,区域,区分,灾区,地区",老师说我们要学会区分对与错。
1,95,历,lì,"历历在目,历史,日历,经历,历来",这节历史课上我学到了很多知识。
1,96,歹,dǎi,"不知好歹,为非作歹,歹徒,好歹,歹意",那个持刀的歹徒被警察抓住了。
1,97,友,yǒu,"良师益友,友好,朋友,友谊,亲友",从小到大他都是我最好的朋友。
1,98,尤,yóu,"怨天尤人,尤其,尤为,尤物,尤甚",几门课里，我尤其喜欢画画这门课。
1,99,匹,pǐ,"单枪匹马,匹配,匹夫,一匹,匹敌",他单枪匹马就完成了这项任务。
1,100,车,"chē, jū","车水马龙,前车之鉴,汽车,火车,车上",节日的大街车水马龙，热闹极了。
1,101,巨,jù,"巨大,巨人,巨变,巨款,巨型",村口那棵老树巨大无比，要几个人才能抱住。
1,102,牙,yá,"咬牙切齿,牙齿,刷牙,门牙,牙膏",我们每天早晚都要认真地刷牙。
1,103,屯,tún,"屯兵,屯粮,屯子,屯驻,屯田",北大荒的这个屯子里住着几十户人家。
1,104,戈,gē,"大动干戈,枕戈待旦,戈壁,干戈,探戈",为一点小事大动干戈地吵架不好。
1,105,比,bǐ,"比比皆是,比翼双飞,比赛,比较,比如",运动会上，我们班比赛接力跑步。
1,106,互,hù,"互惠互利,互相,互助,互利,互让",老师常说同学之间要互相帮助。
1,107,切,"qiē, qiè","切肤之痛,切实,亲切,一切,密切",老师对我们说话时总是很亲切。
1,108,瓦,"wǎ, wà","添砖加瓦,瓦解,瓦片,砖瓦,瓦斯",春天，燕子在老屋的瓦下做窝。
1,109,止,zhǐ,"学无止境,停止,阻止,止步,止血",学无止境，我一定要不断地努力。
1,110,少,"shǎo, shào","少见多怪,少年,多少,少数,少女",我们是祖国未来的好少年，要好好学习。
1,111,曰,yuē,"子曰,或曰,读曰,美其名曰",《论语》开头就是子曰两个字。
1,112,日,rì,"日新月异,日积月累,日子,生日,今日",学习要日积月累，才能不断进步。
1,113,中,"zhōng, zhòng","中流砥柱,百发百中,中间,中午,中文",他百发百中，投进了好几个球。
1,114,贝,bèi,"宝贝,贝壳,分贝,贝母,川贝",夏天在海边能捡到美丽的贝壳。
1,115,冈,gāng,"山冈,高冈,冈峦,景阳冈,井冈山",春天，山冈上开满了五颜六色的野花。
1,116,内,nèi,"内外交困,内外,内容,内心,内地",这本童话书的内容真有趣，我很爱看。
1,117,水,shuǐ,"水落石出,饮水思源,水分,水手,水果",妈妈说每天多吃水果对身体好。
1,118,见,"jiàn, xiàn","见怪不怪,见多识广,见面,看见,意见",放学时，我远远地看见老师走过来。
1,119,午,wǔ,"午饭,中午,午休,午后,午睡",每天，中午我们都在学校吃午饭。
1,120,牛,niú,"牛刀小试,对牛弹琴,小牛,牛奶,牛皮",对牛弹琴这个成语故事很有意思。
1,121,手,shǒu,"手忙脚乱,手舞足蹈,小手,双手,手心",听到好消息，他手舞足蹈地跳起来。
1,122,气,qì,"气象万千,气喘吁吁,空气,天气,气球",节日里，五颜六色的气球飘在空中。
1,123,毛,máo,"毛手毛脚,毛遂自荐,毛笔,毛巾,羽毛",这只小鸟的羽毛五颜六色，真好看。
1,124,壬,rén,"壬辰,壬寅,壬水,壬戌",壬是中国古代用于记年的天干之一。
1,125,升,shēng,"升旗,升起,升高,回升,上升",星期一早晨学校举行升旗仪式。
1,126,夭,yāo,"逃之夭夭,夭折,夭桃,夭亡",逃之夭夭是一个形容逃跑的成语。
1,127,长,"cháng, zhǎng","取长补短,语重心长,长大,长短,长久",我天天盼望着自己能快快地长大。
1,128,仁,rén,"仁至义尽,一视同仁,仁爱,仁慈,果仁",班主任老师对每个同学都一视同仁。
1,129,什,"shén, shí","什锦,家什,什物,什么,什佰",过年时，妈妈买什锦糖给我吃。
1,130,片,"piān, piàn","片甲不留,片片,一片,相片,名片",秋风吹过，树叶一片片飘落下来。
1,131,仆,"pū, pú","风尘仆仆,仆人,仆从,公仆,仆仆",他一心为民，是人民的好公仆。
1,132,化,huà,"化险为夷,千变万化,变化,化学,化装",秋天到了，树叶的颜色变化很大。
1,133,仇,"chóu, qiú","疾恶如仇,仇人,报仇,仇恨,仇敌",他俩成了好朋友，不再记仇了。
1,134,币,bì,"钱币,纸币,硬币,货币,金币",我把一枚硬币投进了小猪储蓄罐。
1,135,仍,réng,"仍然,仍旧,频仍,仍是,仍有",都傍晚了，天仍然下着蒙蒙小雨。
1,136,仅,jǐn,"仅仅,仅有,仅存,不仅,仅见",放学后教室里仅仅剩下他一个人。
1,137,斤,jīn,"斤斤计较,斤两,公斤,半斤,斤数",奶奶常教育我做人不能斤斤计较。
1,138,爪,"zhǎo, zhuǎ","张牙舞爪,爪子,脚爪,爪牙,鹰爪",可爱的小猫用爪子拨弄毛线球。
1,139,反,fǎn,"反败为胜,反复无常,反面,相反,反复",比赛反败为胜，大家高兴极了。
1,140,介,jiè,"介绍,介词,介意,媒介,介入",开学时，老师让我介绍自己的爱好。
1,141,父,fù,"父母,父亲,父子,祖父,师父",父母辛勤地工作，养活我们一家人。
1,142,从,cóng,"从容不迫,从善如流,从前,服从,从来",面对难题，他从容不迫地回答了。
1,143,仑,lún,"昆仑,加仑,库仑,仑音",我在地图上找到了昆仑山的位置。
1,144,今,jīn,"古今中外,今非昔比,今天,如今,今年",今天的家庭作业我早就写完了。
1,145,凶,xiōng,"凶多吉少,凶猛,凶手,凶恶,吉凶",老虎是森林里最凶猛的动物。
1,146,分,"fēn, fèn","分秒必争,分门别类,分开,分数,分钟",考试时我们要分秒必争，认真答题。
1,147,乏,fá,"乏味,缺乏,匮乏,乏力,不乏",这本书读起来很乏味，我不想看了。
1,148,公,gōng,"大公无私,公而忘私,公园,公共,公平",我们的班主任老师办事很公平。
1,149,仓,cāng,"仓皇失措,仓库,粮仓,仓储,仓促",秋收后，粮仓里堆满了金色的稻谷。
1,150,月,yuè,"闭月羞花,月光,月亮,月份,明月",中秋的夜晚，天上的月亮又圆又亮。
1,151,氏,"shì, zhī","姓氏,氏族,摄氏,神农氏,氏族",你知道自己的姓氏是怎么来的吗？
1,152,勿,wù,"勿忘我,请勿,勿要,勿动",图书馆的墙上贴着请勿喧哗的标语。
1,153,欠,qiàn,"呵欠,欠债,欠缺,欠身,欠款",上了一天的课，他打了个呵欠，困了。
1,154,风,fēng,"风和日丽,风吹草动,大风,风景,风光",今天风和日丽，正好适合去郊游。
1,155,丹,dān,"一片丹心,丹心,丹青,牡丹,丹田",春天，公园里的牡丹花盛开了。
1,156,匀,yún,"匀称,均匀,匀净,匀速,匀和",舞蹈演员姐姐的身材十分匀称。
1,157,乌,wū,"爱屋及乌,乌云,乌黑,乌鸦,乌龙",聪明的乌鸦想喝瓶子里的那点水。
1,158,勾,"gōu, gòu","勾画,勾结,勾勒,勾当,勾引",美术课上他用铅笔勾勒出一幅画。
1,159,凤,fèng,"龙飞凤舞,凤毛麟角,凤凰,凤梨,凤仙",爷爷那龙飞凤舞的书法真漂亮。
1,160,六,liù,"六神无主,六个,六月,六十,六一",他急得六神无主，不知怎么办。
1,161,文,wén,"文质彬彬,温文尔雅,语文,文字,作文",这次我的作文被老师当众表扬了。
1,162,亢,kàng,"不卑不亢,亢奋,高亢,亢进,亢旱",他说话不卑不亢，显得很有礼貌。
1,163,方,fāng,"四面八方,千方百计,方向,方法,地方",节日里，礼堂四面八方都是人。
1,164,火,huǒ,"火上浇油,水深火热,火车,火力,火光",勇敢的消防员叔叔扑灭了大火。
1,165,为,"wéi, wèi","为所欲为,事在人为,因为,以为,成为",老师说只要有信心，事在人为。
1,166,斗,"dǒu, dòu","斗志昂扬,战斗,斗争,斗气,斗牛",运动员们斗志昂扬地走上赛场。
1,167,忆,yì,"记忆犹新,回忆,记忆,忆旧,追忆",童年那些快乐的回忆真让人难忘。
1,168,计,jì,"计上心来,千方百计,计算,计分,计划",新学期一开始我就制定了学习计划。
1,169,订,dìng,"订正,订购,订立,订货,修订",作业本发下来，我认真订正错题。
1,170,户,hù,"千家万户,户口,门户,窗户,农户",清晨，千家万户都打开了窗户。
1,171,认,rèn,"认真,认为,认可,承认,认识",开学后，我认识了很多新同学。
1,172,冗,rǒng,"冗长,冗余,冗员,冗务,冗杂",这篇文章太冗长，读起来很累。
1,173,讥,jī,"冷讥热嘲,讥笑,讥讽,讥嘲,讥刺",老师常说不要讥笑别人的缺点。
1,174,心,xīn,"心花怒放,心旷神怡,开心,心里,细心",听到这个好消息，我心花怒放。
1,175,尺,"chě, chǐ","百尺竿头,尺寸,尺子,卷尺,英尺",我用小尺子量出了课桌的长度。
1,176,引,yǐn,"引人入胜,引经据典,引导,吸引,引用",这本故事书情节曲折，引人入胜。
1,177,丑,chǒu,"丑态百出,丑陋,小丑,美丑,出丑",马戏团的小丑逗得大家哈哈大笑。
1,178,巴,bā,"结结巴巴,巴不得,下巴,嘴巴,巴士",第一次上台他紧张得说话结结巴巴。
1,179,孔,kǒng,"一孔之见,孔雀,孔庙,毛孔,钻孔",动物园里孔雀开屏的样子真好看。
1,180,队,duì,"排队,队长,队伍,中队,乐队",放学了，同学们排队走出校门。
1,181,办,bàn,"办法,办公,办事,创办,举办",这道难题我终于想到一个好办法。
1,182,以,yǐ,"以理服人,以防万一,以后,可以,以为",以后我一定要更加努力地学习。
1,183,允,yǔn,"允许,允诺,公允,应允,不允",老师允许我们课间到操场出去玩。
1,184,予,"yú, yǔ","给予,予以,赋予,授予,赐予",老师给予了我很多鼓励和帮助。
1,185,邓,dèng,"姓邓,邓家,邓姓,邓氏",在我们班，邓是一个常见的姓氏。
1,186,劝,quàn,"劝告,劝解,劝阻,劝导,奉劝",吃饭时妈妈常常劝我多吃蔬菜。
1,187,双,shuāng,"双管齐下,成双成对,双手,双方,一双",春天里，鸟儿成双成对地飞翔。
1,188,书,shū,"书声琅琅,博览群书,书本,读书,书画",清晨，教室里传来朗朗的读书声。
1,189,幻,huàn,"幻想,变幻,幻灯,梦幻,幻境",我常常幻想自己能飞上蔚蓝的天空。
1,190,玉,yù,"如花似玉,玉米,玉石,白玉,玉器",秋天到了，地里的玉米成熟了。
1,191,刊,kān,"报刊,刊物,刊登,创刊,周刊",这本儿童刊物上刊登了我的作文。
1,192,未,wèi,"未雨绸缪,未来,未知,未曾,尚未",做事要未雨绸缪才能把事办好。
1,193,末,mò,"本末倒置,周末,期末,末日,末尾",这个周末我和同学去操场踢球。
1,194,示,shì,"示范,表示,告示,展示,指示",老师示范了正确的毛笔握笔姿势。
1,195,击,jī,"击鼓,击败,射击,击中,击掌",我们击掌约定好了一起加油努力。
1,196,打,"dá, dǎ","打草惊蛇,打成一片,打扫,打球,打针",放学后我们要认真地打扫教室。
1,197,巧,qiǎo,"弄巧成拙,巧合,灵巧,巧妙,巧遇",他想耍小聪明，结果弄巧成拙。
1,198,正,"zhēng, zhèng","正大光明,光明正大,正确,真正,正好",做人要光明正大，不能欺骗别人。
1,199,扑,pū,"扑朔迷离,扑空,扑灭,扑面,猛扑",这件事扑朔迷离，真叫人奇怪。
1,200,卉,huì,"奇花异卉,花卉,卉木,卉茵",春季花展上展出了许多名贵花卉。
1,201,扒,"bā, pá","扒开,扒皮,扒手,扒拉,扒车",他扒开茂密的草丛，寻找皮球。
1,202,功,gōng,"功败垂成,马到成功,功课,用功,功劳",他学习很用功，所以成绩优秀。
1,203,扔,rēng,"扔掉,扔球,扔出,扔向,抛扔",我把垃圾扔进了路边的垃圾桶。
1,204,去,qù,"去粗取精,去年,过去,回去,出去",去年暑假，我们全家去了海边。
1,205,甘,gān,"甘心情愿,同甘共苦,甘甜,甘草,甘愿",大家同甘共苦，终于战胜了困难。
1,206,世,shì,"举世闻名,举世瞩目,世界,世代,世纪",长城举世闻名，是中国的骄傲。
1,207,艾,"ài, yì","方兴未艾,期期艾艾,艾草,艾灸,怨艾",端午节，家家户户门上插着艾草。
1,208,古,gǔ,"古色古香,千古流传,古人,古代,古老",这座老寺庙古色古香，很有韵味。
1,209,节,"jiē, jié","节衣缩食,节日,节约,春节,节目",春节是我一年里最喜欢的节日。
1,210,本,běn,"变本加厉,本末倒置,本子,课本,本来",每天上课时我们都一定要带好课本。
1,211,术,"shù, zhú","不学无术,术语,美术,技术,战术",每周我都喜欢上有趣的美术课。
1,212,可,"kě, kè","可歌可泣,无懈可击,可是,可能,可爱",这只小猫毛茸茸的样子真可爱。
1,213,丙,bǐng,"丙方,甲乙丙,丙等,丙级,丙寅",这次比赛的成绩分甲乙丙三等。
1,214,左,zuǒ,"左右逢源,左顾右盼,左边,左手,左右",站在路口他左顾右盼，像是在找人。
1,215,厉,lì,"雷厉风行,再接再厉,厉害,严厉,厉兵秣马",老师对我们学习的要求很严厉。
1,216,石,"dàn, shí","滴水穿石,水落石出,石头,宝石,石桥",滴水穿石的故事告诉我们要坚持。
1,217,右,yòu,"右边,右手,右面,左右,右耳",写作业时我习惯用右手写字。
1,218,布,bù,"星罗棋布,布衣,发布,分布,棉布",湖面上星罗棋布地散布着小岛。
1,219,夯,hāng,"夯实,夯土,打夯,夯歌,夯石",学好知识一定要先夯实好基础。
1,220,戊,wù,"戊戌,戊申,戊子,戊午",戊是中国古代天干之一，用来记年。
1,221,龙,lóng,"龙腾虎跃,画龙点睛,小龙,龙舟,龙灯",画龙点睛的一笔让整幅画活了起来。
1,222,平,píng,"平易近人,平平安安,平安,平时,公平",出门在外，祝愿大家一路平安。
1,223,灭,miè,"灭顶之灾,熄灭,消灭,灭火,灭亡",勇敢的消防员叔叔及时灭了火。
1,224,轧,"yà, zhá","倾轧,轧钢,轧碎,轧路,轧机",钢铁厂里，轧钢机轰隆隆地响着。
1,225,东,dōng,"东张西望,声东击西,东方,东风,东边",他上课总是东张西望，很不专心。
1,226,卡,"kǎ, qiǎ","卡片,卡住,卡通,发卡,卡壳",我亲手把生日卡片送给了同学。
1,227,北,běi,"南辕北辙,北边,北方,北京,北风",南辕北辙的故事告诉我们方向要对。
1,228,占,"zhān, zhàn","鸠占鹊巢,占为己有,占据,占领,占卜",鸠占鹊巢这个成语故事很有趣。
1,229,凸,tū,"凸起,凸出,凸凹,凸透镜,凸显",下雨后，马路中间凸起一块石头。
1,230,卢,lú,"卢布,卢沟桥,卢橘,姓卢,卢氏",卢沟桥的栏杆上有许多石狮子。
1,231,业,yè,"业精于勤,建功立业,作业,事业,学业",每天认真完成作业是个好习惯。
1,232,旧,jiù,"喜新厌旧,旧书,破旧,旧事,仍旧",这件衣服虽然旧了，但很干净。
1,233,帅,shuài,"挂帅,元帅,将帅,统帅,帅气",这位元帅指挥军队打了一个大胜仗。
1,234,归,guī,"殊途同归,物归原主,归还,归来,回归",捡到别人的东西一定要物归原主。
1,235,旦,dàn,"信誓旦旦,旦夕,元旦,一旦,旦日",他信誓旦旦地保证能完成任务。
1,236,目,mù,"目瞪口呆,目不转睛,目光,目前,题目",上课时他目不转睛地看着黑板。
1,237,且,qiě,"苟且偷生,而且,并且,暂且,姑且",这道数学题很难，而且很有趣。
1,238,叶,"xié, yè","叶落归根,一叶知秋,叶子,树叶,茶叶",秋天到了，树叶一片片地落下。
1,239,甲,jiǎ,"丢盔弃甲,甲骨文,甲等,甲乙,铠甲",战败的士兵丢盔弃甲，狼狈逃跑。
1,240,申,shēn,"三令五申,申请,申明,申报,重申",新学期我向老师申请当值日生。
1,241,叮,dīng,"叮嘱,叮咛,叮当,叮咬,叮问",上学前妈妈叮嘱我过马路要小心。
1,242,电,diàn,"电闪雷鸣,电视,电话,电脑,电力",夏天打雷时电闪雷鸣，真吓人。
1,243,号,"háo, hào","号召,口号,信号,号码,号角",运动会上，大家喊着响亮的口号。
1,244,田,tián,"田野,田地,种田,稻田,田径",秋天，广阔的田野里一片金黄。
1,245,由,yóu,"自由自在,理由,由于,自由,由此",蔚蓝的天空中小鸟自由自在地飞翔。
1,246,只,"zhī, zhǐ","只言片语,只有,只是,只好,船只",我的文具盒里只有一支铅笔了。
1,247,叭,bā,"喇叭,叭嗒,叭叭,叭的一声",马路上汽车的喇叭叭叭地响着。
1,248,史,shǐ,"史无前例,名垂青史,历史,史诗,史书",这本史书里讲了很多有趣的故事。
1,249,央,yāng,"央求,中央,未央,央告,央央",我央求了半天，妈妈才答应下来。
1,250,兄,xiōng,"难兄难弟,兄弟,兄长,老兄,师兄",每天一早，我们兄弟俩一起去上学。
1,251,叽,jī,"叽叽喳喳,叽咕,叽里呱啦,叽叽,叽叫",清晨，小鸟在树上叽叽喳喳地叫。
1,252,叼,diāo,"叼着,叼走,叼肉,叼住,老叼",可爱的小猫叼着一条鱼跑走了。
1,253,叫,jiào,"叫苦连天,叫好,叫喊,叫声,叫醒",公鸡喔喔叫，把大家都叫醒了。
1,254,叩,kòu,"叩门,叩谢,叩问,叩首,三叩九拜",有人轻轻叩门，我去开门看看。
1,255,叨,"dāo, dáo, tāo","叨叨,唠叨,絮叨,念叨,叨念",奶奶总是唠唠叨叨地叮嘱我注意安全。
1,256,另,lìng,"另外,另行,另起,另谋,另种",老师，这道题还有另外一种解法。
1,257,叹,tàn,"叹为观止,长吁短叹,叹气,感叹,叹息",看到这美丽的景色，大家叹为观止。
1,258,冉,rǎn,"冉冉升起,冉冉,冉求,冉有",鲜艳的国旗在国歌声中冉冉升起。
1,259,皿,mǐn,"器皿,皿器,血皿,杯皿",博物馆里陈列着许多古代的器皿。
1,260,凹,āo,"凹凸不平,凹陷,凹地,凹透镜,凹面",这条土路凹凸不平，骑车真颠簸。
1,261,囚,qiú,"囚犯,囚禁,囚车,囚徒,幽囚",那个做坏事的囚犯被关进了监狱。
1,262,四,sì,"四面八方,四通八达,四个,四月,四季",我们家乡一年四季都有美丽的风景。
1,263,生,shēng,"生机勃勃,妙笔生花,生日,生活,生气",春天来了，校园里一片生机勃勃。
1,264,矢,shǐ,"矢口否认,矢志不渝,矢志,矢量,弓矢",面对质问，他矢口否认做过这件事。
1,265,失,shī,"失魂落魄,因小失大,失败,失去,失落",这次失败并没有让我失去信心。
